model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean
own,UPPS_ECOLI_1_253_0,100,1.0,1.0,0.6236545212224484,6.9723514239036755,0.7707446000000003,1.0,0.94,0.98,0.37755102040816324,0.01,0.99,445.88116319438484,0.03446144198719849,100,0.88,0.8738507573571677,0.77,,-7.711,,,0.0,0.0,-6.1035,-6.2874599999999985
own,PNTM_STRAE_2_398_0,100,1.0,1.0,0.5550155363224447,7.03910666333133,-0.03960280000000017,1.0,0.99,1.0,0.3434343434343434,0.07,0.95,616.3612049187248,0.08201505454661075,100,0.84,0.7902549868461962,0.68,,,,,0.0,0.0,,
own,DHAK_ECOLI_1_356_0,100,1.0,1.0,0.4114959580772018,5.983312584761674,-0.5742533000000001,1.0,1.0,1.0,0.7171717171717171,0.01,0.99,169.4573316208072,0.10579695790845696,100,0.4,0.7684615918933174,0.15,,-2.459,,,0.0,0.0,-1.9969999999999999,-1.90989
own,PAK4_HUMAN_291_591_ATP_0,100,1.0,1.0,0.7706927171826972,7.446898554012128,-0.051895800000000006,1.0,1.0,1.0,0.95,0.0,1.0,379.5926128291369,0.11879968701095463,100,0.04,0.2078868915145864,0.04,,-7.77,,,0.0,0.0,-7.063000000000001,-7.07401
own,LAT_MYCTU_1_449_0,100,1.0,1.0,0.5711786346772092,6.313491214448564,0.23155989999999985,1.0,1.0,1.0,0.86,0.01,0.99,314.1628302099249,0.10389308161680011,100,0.26,0.47711320297342297,0.13,,-6.276,,,0.0,0.0,-6.578,-6.529389999999999
own,DYRK2_HUMAN_145_550_0,100,1.0,1.0,0.5588468026013063,7.037230894641868,2.0530942,1.0,0.99,0.99,0.71,0.0,1.0,440.8289739391755,0.08760039090235655,100,0.31,0.5178600727937286,0.21,,-8.83,,,0.0,0.0,-8.707,-8.61932
own,CDK6_HUMAN_1_312_0__2f2c_B_rec,100,1.0,1.0,0.6521944320848371,6.333332516321771,0.4605778999999998,1.0,1.0,0.2,0.8,0.0,1.0,317.24630085826846,0.07493405368788665,100,0.5,0.652839592277064,0.5,,-7.547,,,0.0,0.0,-8.045,-8.058
own,RG1_RAUSE_1_513_0,100,1.0,1.0,0.4518118850867951,6.708478076038236,-0.3775540000000001,1.0,0.54,0.86,0.09278350515463918,0.08,0.93,2006.4147843162305,0.06378384008256491,100,0.96,0.8636485787862441,0.85,,-8.156,,,0.0,0.0,-5.618,-5.393777777777777
own,BTRN_BACCI_2_250_0,100,1.0,1.0,0.5264830599770095,6.81242813683667,-1.1918150000000003,1.0,0.06,0.97,0.16666666666666666,0.0,1.0,1141.3363299027064,0.08989112123121515,100,0.76,0.5778807681282823,0.36,,-8.326,,,0.0,0.0,-7.67,-7.615799999999999
own,TNKS1_HUMAN_1099_1319_0,100,1.0,1.0,0.3788385181099025,7.202209023857197,0.24764170000000005,1.0,0.36,0.96,0.07446808510638298,0.0,1.0,2591.0956804818006,0.04789961022744697,100,1.0,0.899070939634143,0.89,,-15.025,,,0.0,0.0,-7.6129999999999995,-7.94294
own,ABL2_HUMAN_274_551_0,100,1.0,1.0,0.5586036214338354,7.262975915855101,1.5132736,1.0,0.98,1.0,0.51,0.0,1.0,663.2070628733276,0.08982609038967829,100,0.23,0.28694708548771486,0.12,,-8.209,,,0.0,0.0,-8.4035,-8.38644
own,CHIB_SERMA_1_499_0__1h0i_A_rec,100,1.0,1.0,0.45921687454256416,6.509493313079012,-0.7551105999999999,1.0,0.98,0.99,0.26,0.16,0.86,519.7624124812868,0.04026126639835939,100,0.8,0.8693355313293475,0.71,,,,,0.0,0.0,,
own,PYRD_TRYCC_2_314_catalytic_0__2e6d_A_rec,100,1.0,1.0,0.4518146486121522,6.029076699129879,-0.4525887,1.0,1.0,0.99,0.47,0.02,0.98,427.9549214224593,0.08777104246874642,100,0.92,0.8855053401832603,0.49,,-4.835,,,0.0,0.0,-4.068,-4.089585858585858
own,FKB1A_HUMAN_2_108_0,100,1.0,1.0,0.26243601546232753,7.351552837201929,0.3167704999999999,1.0,0.18,1.0,0.06060606060606061,0.0,1.0,1533.1728320431826,0.05627973089897687,100,0.93,0.6512221182504148,0.85,,-7.352,,,0.0,0.0,-5.3225,-5.254970000000001
own,GUX1_HYPJE_18_451_0,100,1.0,1.0,0.7164686955584207,7.582505549046151,1.2016449000000007,1.0,1.0,1.0,0.11,0.0,1.0,512.8060507783644,0.04702896200053491,100,0.24,0.36921001557387545,0.09,,,,,0.0,0.0,,
