model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean
own,TNKS1_HUMAN_1099_1319_0,100,1.0,1.0,0.28333542395478245,7.245761287916061,0.1766200000000002,1.0,0.29,0.94,0.010101010101010102,0.02,0.99,2784.08900890827,0.04835778635532968,100,1.0,0.8974241998044391,0.96,,-15.025,-14.989,,0.0,0.0,-9.421,-9.618269999999999,-9.280000000000001,-9.49483
own,AK1BA_HUMAN_1_316_0,100,1.0,1.0,0.5265927850173032,7.095737863523999,0.5000896000000001,1.0,1.0,0.68,0.45454545454545453,0.0,1.0,292.02677178186457,0.07053569825848932,100,0.37,0.4571949592167476,0.36,,,,,0.0,0.0,,,,
own,LMBL1_HUMAN_198_526_0__2rhy_A_rec,100,1.0,1.0,0.37744605906217177,6.663165947316315,-1.0040416,1.0,0.99,0.98,0.22,0.0,1.0,491.2324061966152,0.05251744050910725,100,0.75,0.8211331797509509,0.35,,-2.888,-2.816,,0.0,0.0,-2.7415000000000003,-2.5894099999999995,-2.9835000000000003,-2.9144200000000002
own,NPD_THEMA_1_246_0,100,1.0,1.0,0.48318158120239835,6.585025747755915,-0.8344839000000001,1.0,0.35,0.86,0.14285714285714285,0.0,1.0,1050.606717278659,0.04984467614926208,100,0.99,0.8701948248007124,0.92,,,,,0.0,0.0,,,,
own,SIR3_HUMAN_117_398_0,100,1.0,1.0,0.5053707944778136,7.179254673913813,0.3865212000000001,1.0,0.82,0.97,0.08,0.0,1.0,1240.300625705363,0.056126227903300435,100,1.0,0.9010433432820232,0.98,,,,,0.0,0.0,,,,
own,PPIA_HUMAN_1_165_0,100,1.0,1.0,0.522907303023193,7.206587123490838,-0.33454439999999996,1.0,0.88,0.99,0.35,0.0,1.0,600.608545163142,0.06614295437126347,100,0.87,0.8154913280107793,0.7171717171717171,,-5.686,-5.88,,0.0,0.0,-5.773,-5.760559999999999,-6.1555,-6.136200000000001
own,ODBB_THET8_1_324_0,100,1.0,1.0,0.5627969067507369,7.283988556573156,1.8997949999999995,1.0,0.05,0.99,0.58,0.0,1.0,571.1422532453576,0.10156629697817193,100,0.36,0.39420294508654996,0.16,,-9.046,-9.036,,0.0,0.0,-9.693999999999999,-9.754310000000002,-10.3675,-10.361070000000002
own,DYRK2_HUMAN_145_550_0,100,1.0,1.0,0.5588468026013063,7.037230894641868,2.0530942,1.0,0.99,0.99,0.83,0.0,1.0,306.4676007907698,0.08760039090235655,100,0.31,0.5178600727937286,0.21,,-8.83,-8.824,,0.0,0.0,-8.422,-8.44088,-8.7335,-8.738820000000002
own,MURA_ECOLI_1_419_catalytic_0,100,1.0,1.0,0.5292671976888704,6.333314415254426,-0.9317036000000001,1.0,0.05,0.94,0.25510204081632654,0.0,1.0,882.5248402707126,0.09428077444399058,100,0.81,0.75050405480823,0.78,,-6.997,-7.012,,0.0,0.0,-6.765000000000001,-6.65186,-6.857,-6.838869999999999
own,SQHC_ALIAD_1_631_0,100,1.0,1.0,0.31239642490724623,7.021539342433844,-0.5116512,0.96,0.12,0.7,0.030303030303030304,0.0,1.0,1806.5230162819892,0.06493151514407451,100,0.99,0.7954201128519751,0.71,,-11.36,-11.395,,0.0,0.0,-9.834,-9.765909999999998,-9.161000000000001,-9.282020000000001
own,HDHA_ECOLI_1_255_0,100,1.0,1.0,0.4860991208954318,6.9200427924873384,-0.9860082999999997,1.0,0.53,0.98,0.1717171717171717,0.0,1.0,1063.4960650973796,0.06017424860660689,100,1.0,0.8910538132146579,0.898989898989899,,-9.723,-9.795,,0.0,0.0,-6.62,-6.67446,-6.6145,-6.675810000000001
own,DHAK_ECOLI_1_356_0,100,1.0,1.0,0.46711899282208125,6.904085412129532,-0.10846590000000007,1.0,0.96,1.0,0.31,0.28,0.99,527.1604193258772,0.06445210588086903,100,0.95,0.8831434494945012,0.51,,-2.459,-2.478,,0.0,0.0,-3.4779999999999998,-2.93476,-3.6855,-3.5036
own,NR1H4_HUMAN_258_486_0,100,1.0,1.0,0.3460044803237507,7.35895464582997,0.4433108999999999,1.0,0.97,1.0,0.03,0.0,1.0,897.2358191382784,0.12188631831532103,100,0.51,0.4700371805723754,0.39,,,,,0.0,0.0,,,,
