target_id,vina_dock,vina_score,pb_valid,connected,qed,sa,hac,n_arom_rings,strain,clashfree,hit
PHP_SULSO_1_314_0,,,0.97,0.44,0.47619962044856295,2.292809382464728,10.16,0.0,183.4174648518484,0.96,0.0
PLCD1_RAT_134_756_0,-6.196219999999999,-4.02075,0.6565656565656566,0.19,0.1950373386909261,6.169177635427774,17.35,0.0,570.0094147291921,0.64,0.0
PNTM_STRAE_2_398_0,,,0.7171717171717171,0.49,0.47978524137779954,4.962699332697023,17.16,0.0,1387.5517664255244,0.11,0.0
POL_FOAMV_861_1060_0,,,0.17894736842105263,0.6526315789473685,0.3444452376383843,6.481219610096557,13.294736842105262,0.042105263157894736,2081.0923951789955,0.18,0.0
PPIA_HUMAN_1_165_0,-5.80902,-3.86887,0.9285714285714286,0.6565656565656566,0.39994784931631067,4.200730161848224,15.333333333333334,0.08080808080808081,630.2183087100261,0.93,0.03
PTGIS_HUMAN_20_500_0,-5.94178,-2.21346,0.31958762886597936,0.7551020408163265,0.45874898789310986,5.04421275817433,14.244897959183673,0.10204081632653061,707.6728655923553,0.86,0.02
PYRD_TRYCC_2_314_catalytic_0__2e6d_A_rec,-5.2702599999999995,-1.9971700000000001,0.89,0.49,0.25912307295932774,3.7894920434704913,8.65,0.0,332.5788424182979,0.59,0.0
PYRD_TRYCC_2_314_catalytic_0__3w83_B_rec,-5.54068,-1.33731,0.68,0.54,0.3439107684013475,4.217702347982489,10.6,0.0,462.4299621973538,0.73,0.12
PYRE_BACAN_1_210_0,,,0.35051546391752575,0.7628865979381443,0.3243578554552586,6.250733310521027,16.47422680412371,0.14432989690721648,736.5431717861713,0.43,0.0
QPCT_HUMAN_33_361_0,-5.7761000000000005,-3.84407,0.6326530612244898,1.0,0.4803460162742884,3.753196112448463,11.285714285714286,0.01020408163265306,360.0578883837652,0.77,0.03
RG1_RAUSE_1_513_0,-6.18567,-2.1449700000000003,0.21649484536082475,0.6020408163265306,0.34884086773309464,6.076979249111919,14.39795918367347,0.02040816326530612,1630.466344327491,0.27,0.0
RIBB_VIBCH_2_218_0,,,0.98,0.97,0.21228489382577365,5.333217015018367,13.89,0.0,,0.01,0.0
ROCO4_DICDI_1009_1292_0,,,0.66,0.46,0.278975713457349,6.777404885446936,20.72,0.54,362.97668449018164,0.87,0.0
SDIA_ECOLI_1_171_0,-7.14951,-3.50136,0.5612244897959183,0.6530612244897959,0.48381022077691915,4.5816231866759285,14.051020408163266,0.02040816326530612,723.8064391652674,0.62,0.09
SIR3_HUMAN_117_398_0,,,0.11827956989247312,0.776595744680851,0.48963622866240597,6.414024997212871,13.553191489361701,0.0851063829787234,1587.7740929212116,0.6391752577319587,0.0
SQHC_ALIAD_1_631_0,-6.97625,1.01777,0.08602150537634409,0.9042553191489362,0.4380935201157144,6.966147968801208,13.659574468085106,0.010638297872340425,1698.4826155104804,0.09,0.0
TBK1_HUMAN_1_303_0,-6.41009,-4.09284,0.14736842105263157,0.7894736842105263,0.43327397449248367,6.645914251476746,15.873684210526315,0.14736842105263157,1549.1146692460977,0.78,0.0
TIAM1_HUMAN_840_931_0,-3.8403300000000002,-0.65542,0.1836734693877551,0.696969696969697,0.37335907807505464,5.920497491754501,11.494949494949495,0.030303030303030304,928.0172005383026,0.59,0.0
TNKS1_HUMAN_1099_1319_0,-6.83784,-3.41008,0.14583333333333334,0.8541666666666666,0.4096103856611786,6.768305344604584,15.125,0.1875,1742.4643137202738,0.5,0.0
TNKS2_HUMAN_948_1162_0,-6.858490000000001,-3.76737,0.17894736842105263,0.7052631578947368,0.32575909448499507,6.6205510481521905,16.189473684210526,0.031578947368421054,1627.7130680888806,0.55,0.0
TRAR_RHIRD_1_234_0,-7.334199999999999,-4.42381,0.09473684210526316,0.6082474226804123,0.5100311854196197,6.089768997687389,13.917525773195877,0.08247422680412371,1433.4779581976588,0.5,0.0
UBE2T_HUMAN_1_156_0,-4.43205,-3.0470699999999997,0.91,0.84,0.5346671960991859,3.8020548923907365,10.81,0.0,449.30916815352424,0.99,0.12
UPPS_ECOLI_1_253_0,-6.13819191919192,-3.130141414141414,0.46875,0.7040816326530612,0.4369995299669408,5.401728429210858,15.775510204081632,0.04081632653061224,1174.3806467776299,0.83,0.01
VAOX_PENSI_1_560_0,-9.43576,-4.5225,0.5555555555555556,0.6464646464646465,0.15694042542228476,6.858313315177735,25.07070707070707,0.020202020202020204,740.159204199416,0.34,0.0
XANLY_BACGL_26_777_0,-6.31666,0.02897999999999997,0.44329896907216493,0.7551020408163265,0.3575047115768409,5.259889838542143,14.693877551020408,0.0,731.161124729548,0.44,0.02
