model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,IMA1_HUMAN_68_497_0,100,1.0,1.0,0.4598710481541316,6.900505093865849,0.18653529999999993,1.0,0.75,0.98,,,,,0.03,0.0,1.0,1371.4770649407164,0.01754759409736852,100,1.0,0.8816274291385017,0.81,,,,,0.0,0.0
own,DFPA_LOLVU_2_314_0,100,1.0,1.0,0.5392079560867837,7.472707152017412,0.6113864999999997,1.0,0.99,1.0,-5.6579999999999995,-5.646510000000001,-5.8205,-5.76024,0.7,0.0,1.0,345.6344599150529,0.08024277624144562,100,0.55,0.6938152223899068,0.41,,-6.005,-5.998,,0.0,0.0
own,PNTM_STRAE_2_398_0,100,1.0,1.0,0.5191566588895891,6.927901520050523,-0.27207180000000014,1.0,1.0,1.0,,,,,0.35,0.0,1.0,530.18958498293,0.07924109184012167,100,0.57,0.7267493483749501,0.48,,,,,0.0,0.0
own,M3K14_HUMAN_321_678_0,100,1.0,1.0,0.5358930933696757,7.0017800540965105,-0.3939233000000001,1.0,0.95,1.0,-7.7219999999999995,-7.433240000000001,-7.728999999999999,-7.237969999999999,0.35353535353535354,0.0,1.0,586.0235351695462,0.07605061233843796,100,0.78,0.7948820329803976,0.67,,-4.781,-4.766,,0.0,0.0
own,F16P1_HUMAN_1_338_0,100,1.0,1.0,0.5935562187075015,6.593298985235026,-0.3000982000000003,1.0,0.06,0.98,-7.148,-7.296860000000001,-7.2875,-7.306290000000001,0.12631578947368421,0.0,1.0,1287.8092193131945,0.07824168800037842,100,0.55,0.6154444919794766,0.31,,-7.793,-7.678,,0.0,0.0
own,NOS3_HUMAN_65_480_0__4kcq_A_rec,100,1.0,1.0,0.3814663154905057,6.969104977300499,-2.1538787999999998,1.0,0.39,0.99,-4.434,-4.24102,-4.6005,-4.65073,0.17,0.15,0.99,1060.9667329515987,0.02561066665791561,100,1.0,0.8502053947129856,0.76,,-5.3,-5.43,,0.0,0.0
own,ATS5_HUMAN_262_480_0,100,1.0,1.0,0.36117053286224704,6.550422861825913,-1.0661424999999993,1.0,0.97,0.99,-5.884,-5.958010000000002,-6.216,-6.348690000000001,0.2,0.05,0.97,762.7474606910739,0.05007686484127492,100,0.88,0.7734814131296358,0.34,,-7.591,-7.975,,0.0,0.0
own,DHAK_ECOLI_1_356_0,100,1.0,1.0,0.4845831925466842,6.927245108869636,0.24912799999999996,1.0,0.98,0.99,-3.466,-1.07294,-3.6285,-2.9764599999999994,0.3402061855670103,0.73,0.97,666.9108905538237,0.0676510347034826,100,0.93,0.8757218678346111,0.56,,-2.459,-2.478,,0.0,0.0
own,TBK1_HUMAN_1_303_0,100,1.0,1.0,0.612145017334651,7.001656820549206,0.039302799999999874,1.0,0.92,1.0,-7.4345,-7.20015,-7.7195,-7.3895800000000005,0.3838383838383838,0.0,1.0,545.785179383902,0.07588995944435689,100,0.67,0.7223316775177366,0.5858585858585859,,-7.946,-7.963,,0.0,0.0
own,PAK4_HUMAN_291_591_ATP_0,100,1.0,1.0,0.7074077437786088,7.362472690301246,0.030977999999999978,1.0,1.0,1.0,-7.249,-6.9738,-7.4765,-7.119580000000001,0.66,0.0,1.0,384.70806941912883,0.10513121671857772,100,0.24,0.46092011824973833,0.11,,-7.77,-7.668,,0.0,0.0
own,LAT_MYCTU_1_449_0,100,1.0,1.0,0.4881949453911853,6.698838074548619,0.38454969999999983,1.0,0.51,0.96,-7.304,-7.3389700000000015,-7.2515,-7.29477,0.33,0.0,1.0,700.679136693368,0.08911672292479292,100,0.91,0.7177860410978962,0.47,,-6.276,-6.186,,0.0,0.0
own,HMD_METJA_1_358_0,100,1.0,1.0,0.24513912313620037,7.078920258232855,-1.8464111999999995,0.95,0.0,0.98,-8.389,-8.29722,-8.150500000000001,-7.9990499999999995,0.0707070707070707,0.01,0.99,1516.9306298079664,0.09293561324915385,100,1.0,0.7944062019833298,0.94,,-9.087,-9.415,,0.0,0.0
own,EXG1_CANAL_41_438_0,100,1.0,1.0,0.49431013632186493,6.4578370614005,-0.5391197,1.0,1.0,0.95,,,,,0.1919191919191919,0.0,1.0,875.9218211046369,0.0333441770768478,100,0.81,0.8433323144441396,0.47,,,,,0.0,0.0
own,CHIA_SERMA_19_563_0,100,1.0,1.0,0.4389822676911253,7.051985436677324,0.2586095,1.0,1.0,0.98,,,,,0.08080808080808081,0.0,1.0,1310.9217277477464,0.010877413945735694,100,0.99,0.9177750289069623,0.59,,,,,0.0,0.0
own,QPCT_HUMAN_33_361_0,100,1.0,1.0,0.5236894080318596,7.528479348646934,0.08908669999999994,1.0,1.0,0.97,-5.3325,-5.232290000000001,-5.538,-5.513280000000002,0.01020408163265306,0.0,1.0,604.0721476546896,0.0525193653805578,100,0.66,0.8067727842753688,0.59,,-5.434,-5.419,,0.0,0.0
own,DYRK2_HUMAN_145_550_0,100,1.0,1.0,0.5697832077036531,7.066976602965106,1.7807494,1.0,1.0,0.99,-8.757,-8.78831,-8.991,-8.94407,0.62,0.0,1.0,502.97289042829277,0.07684065490417982,100,0.63,0.5719886614199141,0.38,,-8.83,-8.824,,0.0,0.0
own,CCPR_YEAST_69_361_0,100,1.0,1.0,0.5132630262379447,6.763270273235494,0.17740509999999998,1.0,0.96,0.95,-5.409,-5.666810000000001,-5.493499999999999,-5.60808,0.29591836734693877,0.0,1.0,678.6833956246313,0.022758869019316574,100,0.98,0.90102987640966,0.67,,-4.53,-4.526,,0.0,0.0
own,ACE_HUMAN_650_1230_0,100,1.0,1.0,0.4491114673005216,6.570690963444824,0.0796005999999999,1.0,1.0,1.0,-4.2095,-4.333309999999999,-4.3545,-4.50096,0.3163265306122449,0.0,1.0,693.362420755645,0.06325874015967105,100,0.79,0.856662003625619,0.52,,-4.487,-4.446,,0.0,0.0
own,CDK6_HUMAN_1_312_0__2f2c_B_rec,100,1.0,1.0,0.6469914416763406,6.513603746319233,0.8343374,1.0,1.0,0.52,-7.9275,-7.8346100000000005,-8.2425,-8.06831,0.82,0.0,1.0,227.99936622332189,0.07795127682237232,100,0.64,0.7400174890193619,0.62,,-7.547,-7.523,,0.0,0.0
own,COAA_MYCTU_1_312_0,100,1.0,1.0,0.4109056366900966,7.043493068022766,0.3916704000000001,0.97,0.0,1.0,-6.84,-6.87565,-7.3745,-7.361240000000001,0.48,0.0,1.0,782.9491932813592,0.09860326005255776,100,0.72,0.6329891639822591,0.46,,-7.296,-7.362,,0.0,0.0
own,LMBL1_HUMAN_198_526_0__2rhy_A_rec,100,1.0,1.0,0.48840573953125693,7.2706948180736175,-0.1224863000000001,1.0,0.97,1.0,-4.3925,-4.12276,-4.0815,-4.080160000000001,0.08247422680412371,0.0,1.0,712.3319368695411,0.03805010984279066,100,0.83,0.8364811643545009,0.49,,-2.888,-2.816,,0.0,0.0
own,NPD_THEMA_1_246_0,100,1.0,1.0,0.5313077917204336,7.083718134895945,0.15505570000000002,1.0,0.96,0.97,,,,,0.13131313131313133,0.0,1.0,1881.997135350237,0.04859213914916418,100,0.98,0.8999815550124579,0.84,,,,,0.0,0.0
own,TIAM1_HUMAN_840_931_0,100,1.0,1.0,0.40550170609890995,6.918881651214633,-0.7724939000000002,1.0,0.58,0.97,-2.4835000000000003,-2.4495199999999997,-3.0324999999999998,-3.0328999999999997,0.09,0.0,1.0,1677.774952490302,0.032249377598342364,100,1.0,0.8948831845830041,0.89,,-3.822,-3.764,,0.0,0.0
own,RG1_RAUSE_1_513_0,100,1.0,1.0,0.35245879826686666,6.823685584746188,-0.5838801000000001,1.0,0.35,0.96,-6.7255,-6.710939999999999,-6.618,-6.697330000000001,0.07,0.05,0.99,1594.07349041663,0.06152335407350106,100,1.0,0.889177612655285,0.79,,-8.156,-8.283,,0.0,0.0
own,CPXB_BACMB_2_464_0,100,1.0,1.0,0.5204249670580215,7.097756750955323,0.9881441000000002,1.0,0.75,0.97,-8.442,-8.71101,-8.118500000000001,-8.444869999999998,0.1717171717171717,0.0,1.0,1088.1641583150831,0.045397324644363975,100,1.0,0.8723132565064775,0.85,,-6.203,-6.176,,0.0,0.0
own,SDIA_ECOLI_1_171_0,100,1.0,1.0,0.540640993486227,6.928411620416768,0.4362226,1.0,0.92,0.99,-9.188500000000001,-8.91699,-9.0555,-8.73634,0.11,0.01,0.99,920.5780881384766,0.04325041979676764,100,1.0,0.8978251525526146,0.94,,-5.641,-5.766,,0.0,0.0
own,PTGIS_HUMAN_20_500_0,100,1.0,1.0,0.5281547625288414,6.9242259696846595,-0.13758140000000008,1.0,0.81,0.98,-4.864000000000001,-4.994960000000001,-5.0925,-5.12028,0.2222222222222222,0.0,1.0,786.9877462643899,0.03879581858589643,100,0.99,0.8810923665635277,0.9,,-4.367,-4.468,,0.0,0.0
own,NOS2_HUMAN_78_505_0,100,1.0,1.0,0.48699889364132476,6.409479399298289,-0.678855,1.0,0.95,0.95,-3.885,-3.97234,-4.0115,-4.050799999999999,0.37373737373737376,0.0,1.0,540.165324350224,0.02266508876358162,100,0.92,0.8463555757437712,0.38,,-2.539,-2.606,,0.0,0.0
own,BTRN_BACCI_2_250_0,100,1.0,1.0,0.577665060629031,7.123615188156672,-0.09864820000000028,1.0,0.29,0.97,-7.7545,-7.78206,-7.932499999999999,-7.8302,0.35,0.0,1.0,743.3528659472298,0.08446305126362975,100,0.79,0.6215938628529252,0.39,,-8.326,-8.494,,0.0,0.0
own,DPP2_HUMAN_27_492_0,100,1.0,1.0,0.44597301235249054,6.469318185355454,-0.5998625000000001,1.0,0.78,0.97,-5.351,-5.426429999999999,-5.3675,-5.41039,0.25,0.0,1.0,803.5078252595372,0.051325315371873605,100,1.0,0.87956557039698,0.6,,-4.81,-4.809,,0.0,0.0
own,TNKS1_HUMAN_1099_1319_0,100,1.0,1.0,0.3453911097551907,7.166846251609907,-0.26406749999999984,1.0,0.45,0.97,-9.396,-9.437429999999999,-8.942,-9.179880000000002,0.02040816326530612,0.0,1.0,2035.2866903296124,0.04991224497671522,100,1.0,0.8898002542257262,0.92,,-15.025,-14.989,,0.0,0.0
own,ABL2_HUMAN_274_551_0,100,1.0,1.0,0.5314841985909805,7.103282397113236,1.2043495,1.0,0.94,0.97,-8.2805,-8.30955,-8.261,-8.29378,0.06,0.0,1.0,788.114796056996,0.08042083617389052,100,0.9,0.7262832638561973,0.5959595959595959,,-8.209,-8.216,,0.0,0.0
own,TNKS2_HUMAN_948_1162_0,100,1.0,1.0,0.41605578192880854,6.95267651496407,0.47523860000000007,1.0,0.05,0.99,-8.324,-8.39717,-8.1545,-8.30658,0.24,0.0,1.0,841.3453986952334,0.06009644745680343,100,0.85,0.6705375654968997,0.66,,-12.255,-12.212,,0.0,0.0
own,AKT1_HUMAN_1_137_0,100,1.0,1.0,0.4466796180869974,7.0479189566267175,0.4058063999999998,1.0,0.7,0.85,-10.596,-10.646799999999999,-10.2365,-10.275439999999998,0.0,0.0,1.0,1879.524421918432,0.03611310861884207,100,0.95,0.7829210548665673,0.94,,-14.151,-14.334,,0.0,0.0
own,Y635_MYCTU_1_158_0,100,1.0,1.0,0.4917004439095315,6.820277807166348,-0.06336390000000015,1.0,0.58,0.91,-7.849,-7.91281,-7.8315,-7.83294,0.24,0.0,1.0,833.7109151707134,0.05185209065090515,100,1.0,0.890295734211958,0.79,,-8.665,-8.632,,0.0,0.0
own,PPIA_HUMAN_1_165_0,100,1.0,1.0,0.5860798492571032,6.93193385268149,-0.45438029999999985,1.0,1.0,1.0,-5.4,-5.58715,-5.862500000000001,-5.963989999999999,0.52,0.0,1.0,478.13322695741044,0.07552084613884279,100,0.68,0.6349884983149459,0.47,,-5.686,-5.88,,0.0,0.0
own,NOS1_HUMAN_302_723_0__4d7o_A_rec,100,1.0,1.0,0.4322835370884763,6.960760948082129,-0.15104639999999991,1.0,0.57,0.9,-4.6935,-4.82576,-4.877,-4.85546,0.0707070707070707,0.0,1.0,1284.847694355528,0.02165180582056714,100,1.0,0.8942407077576392,0.89,,-5.881,-6.164,,0.0,0.0
own,CHIB_SERMA_1_499_0__1h0i_A_rec,100,1.0,1.0,0.4977098454534076,6.9162263506336545,-0.16928610000000005,1.0,0.97,0.98,,,,,0.1414141414141414,0.0,1.0,1026.142289863486,0.04032863790197247,100,1.0,0.889676285159274,0.75,,,,,0.0,0.0
own,OLIAC_CANSA_1_101_0,100,1.0,1.0,0.5529912793320975,6.872248831280132,0.8137227999999999,1.0,0.99,0.99,,,,,0.48,0.0,1.0,562.9386033687189,0.060789341136864,100,0.8,0.7884520805433085,0.5,,,,,0.0,0.0
own,BAPA_SPHXN_30_402_0,100,1.0,1.0,0.48469420491911985,6.643365518904192,-0.5379114999999999,1.0,0.47,0.92,,,,,0.14583333333333334,0.0,1.0,1209.9549209501943,0.04617140411815998,100,0.93,0.8559908782439756,0.76,,,,,0.0,0.0
own,ODBB_THET8_1_324_0,100,1.0,1.0,0.5182554273346094,7.256628019693789,1.5456223999999992,1.0,0.15,1.0,-10.307500000000001,-10.1729,-10.6175,-10.43366,0.29,0.01,0.99,618.7019303158669,0.09964712140869975,100,0.53,0.4428163067241333,0.27,,-9.046,-9.036,,0.0,0.0
own,DPO4_SULSO_1_347_0,100,1.0,1.0,0.43254828728645833,6.601677843413431,-0.6131811000000001,1.0,0.94,0.95,-1.8515000000000001,-1.8411600000000001,-2.4085,-2.38989,0.12,0.0,1.0,944.2594303230553,0.04942261500967384,100,1.0,0.8574416224301521,0.57,,-3.699,-3.625,,0.0,0.0
own,PYRD_TRYCC_2_314_catalytic_0__2e6d_A_rec,100,1.0,1.0,0.424760034890392,6.350909903499793,-0.7103198999999999,1.0,0.99,0.99,-5.9335,-5.884869999999999,-5.747999999999999,-5.68758,0.24742268041237114,0.0,1.0,787.02007489068,0.08449008914954698,100,0.65,0.7732854967263008,0.36,,-4.835,-4.8,,0.0,0.0
own,VAOX_PENSI_1_560_0,100,1.0,1.0,0.4869090998737054,6.983232261278643,0.38002449999999965,1.0,0.0,0.97,-8.407499999999999,-8.408730000000002,-8.5165,-8.50429,0.5,0.0,1.0,642.6943831463632,0.11778039962135789,100,0.71,0.5709350336526894,0.28,,-9.531,-9.555,,0.0,0.0
own,GLMU_STRPN_2_459_0,100,1.0,1.0,0.4176550114678481,6.754740930747564,-0.5821574,1.0,0.8,0.98,-2.743,-2.75286,-3.462,-3.39281,0.05,0.0,1.0,1394.086698950527,0.052505378083766284,100,1.0,0.8887555071156411,0.72,,-7.314,-7.322,,0.0,0.0
