model,target_id,n_generated,validity,connected,qed_mean,sa_mean,logp_mean,lipinski_frac,veber_frac,pains_free_frac,vina_score_median,vina_score_mean,vina_min_median,vina_min_mean,vina_dock_median,vina_dock_mean,pb_valid_rate,clash_mean,clash_free_rate,strain_median,tanimoto_ref_mean,div_n_valid,div_uniqueness,div_internal_diversity,div_scaffold_diversity,div_novelty,ref_vina_score,ref_vina_min,ref_vina_dock,hit_rate,hit_scaffold_unique_rate
own,HDAC8_HUMAN_1_377_0,100,0.97,0.6494845360824743,0.3638436252628446,6.552962881496129,0.6671091752577331,0.8041237113402062,0.7731958762886598,1.0,,,,,,,0.06315789473684211,0.97,0.47,2679.430341043178,0.04223646236562934,97,1.0,0.9336155243079631,0.6907216494845361,,,,,0.0,0.0
own,HDHA_ECOLI_1_255_0,100,0.99,0.7272727272727273,0.3812059322886262,5.71811550398183,-0.35548858585858467,0.9494949494949495,0.7676767676767676,1.0,-0.297,2.74464,-4.737,-4.79277,-6.6175,-6.555219999999999,0.21875,3.95,0.16,1448.5131491672005,0.09628331593607298,99,1.0,0.9235751680013717,0.797979797979798,,-9.723,-9.795,-10.573,0.0,0.0
own,HMD_METJA_1_358_0,100,0.96,0.6666666666666666,0.19850718472540332,6.6082175038860855,-4.277249687499996,0.2916666666666667,0.19791666666666666,0.9791666666666666,-2.135,-1.6739400000000004,-5.390000000000001,-5.3135,-7.757,-7.6055600000000005,0.3333333333333333,1.95,0.2,1467.3400587090393,0.11313123420304755,96,1.0,0.8341243778919656,0.7083333333333334,,-9.087,-9.415,-9.865,0.0,0.0
own,IDHP_HUMAN_40_452_0,100,0.94,0.9042553191489362,0.4259034635908659,6.909698215862855,0.6945071276595749,0.9893617021276596,0.8617021276595744,0.9787234042553191,,,,,,,0.031914893617021274,5.35,0.05,2284.6690695601224,0.035195277936811195,94,1.0,0.9311614171880841,0.7340425531914894,,,,,0.0,0.0
own,IMA1_HUMAN_68_497_0,100,0.96,0.6770833333333334,0.3819080853401939,5.420389291685925,-1.3234011458333326,0.9791666666666666,0.875,0.9895833333333334,,,,,,,0.2604166666666667,0.12,0.91,1079.1378746781982,0.024919384896767854,96,1.0,0.9217007216313917,0.5833333333333334,,,,,0.0,0.0
own,IPMK_HUMAN_49_416_0,100,0.99,0.797979797979798,0.3075701174368544,6.833120513218255,-3.096478383838383,0.5050505050505051,0.18181818181818182,0.98989898989899,,,,,,,0.29292929292929293,0.48,0.62,688.1568085092051,0.13859062442480172,99,0.9494949494949495,0.7835153097307513,0.5858585858585859,,,,,0.0,0.0
own,KS6A3_HUMAN_41_357_0,100,0.98,0.7857142857142857,0.2035261860576155,6.893529139912224,-5.396670612244899,0.17346938775510204,0.10204081632653061,1.0,-6.9545,-6.794519999999999,-8.3355,-8.10648,-9.1795,-8.86537,0.47959183673469385,0.21,0.79,261.48838547677633,0.1665703207695849,98,0.6938775510204082,0.5448221851645914,0.25510204081632654,,-8.532,-8.596,-8.986,0.0,0.0
own,LAT_MYCTU_1_449_0,100,1.0,0.97,0.32904520842807694,5.748360138117704,-1.920546399999999,0.99,0.99,1.0,-4.747,-4.857810000000001,-6.1675,-6.160410000000001,-7.0705,-7.050279999999998,0.76,0.18,0.93,519.3740273545529,0.067256365560587,100,0.28,0.17206558002242212,0.02,,-6.276,-6.186,-6.682,0.0,0.0
own,LMBL1_HUMAN_198_526_0__2pqw_A_rec,100,0.99,0.7575757575757576,0.3686617521260964,4.40616007016085,-1.2411338383838373,0.9797979797979798,0.9292929292929293,1.0,-2.4615,-0.9448399999999999,-3.891,-3.9288400000000006,-4.82,-5.11768,0.5816326530612245,1.2,0.67,757.4348562154732,0.12606012009252673,99,0.8585858585858586,0.8534801241006643,0.41414141414141414,,-3.697,-3.697,-3.54,0.12,0.04
own,LMBL1_HUMAN_198_526_0__2rhy_A_rec,100,1.0,0.59,0.3715783774664066,3.7802325301702853,-1.1362255999999993,1.0,0.99,1.0,-2.4865,-2.4590099999999997,-3.0865,-2.968,-3.9234999999999998,-3.98169,0.38,0.01,0.99,545.903219910897,0.18332831696698282,100,0.55,0.7866323468361909,0.14,,-2.888,-2.816,-3.684,0.08,0.05
own,M3K14_HUMAN_321_678_0,100,0.95,0.8842105263157894,0.42222639477719287,6.11913647042103,0.13881905263158018,1.0,0.9578947368421052,0.9894736842105263,-3.5595,-2.0294200000000004,-4.564500000000001,-3.80449,-7.3805,-7.10603,0.28421052631578947,1.29,0.53,1652.670961558355,0.06852306448760595,95,0.9789473684210527,0.8769669286993427,0.6947368421052632,,-4.781,-4.766,-7.221,0.07,0.02
